institution_id,period_id,disorder_index,field_id
392282,0,0.7234886025768087,0
392282,1,0.5815061963775023,0
392282,2,0.963821892393321,0
392282,3,0.8395872420262664,0
430192,0,0.554013875123885,0
430192,1,0.45757864632983797,0
430192,2,0.7189239332096475,0
430192,3,0.626641651031895,0
430641,0,0.3330029732408325,0
430641,1,0.2917063870352717,0
430641,2,0.43692022263450836,0
430641,3,0.7298311444652908,0
592451,0,0.8790882061446977,0
592451,1,0.8017159199237369,0
592451,2,0.8376623376623377,0
592451,3,0.7335834896810507,0
1174212,0,0.867195242814668,0
1174212,1,0.8636796949475691,0
1174212,2,0.8432282003710575,0
1174212,3,0.975609756097561,0
1629065,0,0.2001982160555005,0
1629065,1,0.43946615824594853,0
1629065,2,0.7170686456400742,0
1629065,3,0.6932457786116323,0
1743320,0,0.01684836471754212,0
1743320,1,0.4833174451858913,0
1743320,2,0.7551020408163265,0
1743320,3,0.2692307692307692,0
1925986,0,0.931615460852329,0
1925986,1,0.9456625357483317,0
1925986,2,0.9406307977736549,0
1925986,3,0.926829268292683,0
2613432,0,0.7492566897918731,0
2613432,1,0.7597712106768351,0
2613432,2,0.9359925788497218,0
2613432,3,0.9390243902439024,0
4179309,0,0.6204162537165511,0
4179309,1,0.8541468064823642,0
4179309,2,0.4962894248608534,0
4179309,3,0.5478424015009381,0
4322298,0,0.37661050545094155,0
4322298,1,0.5977121067683508,0
4322298,2,0.5185528756957328,0
4322298,3,0.41932457786116323,0
4777552,0,0.9762140733399405,0
4777552,1,0.9837940896091516,0
4777552,2,0.9693877551020408,0
4777552,3,0.9971857410881801,0
5388228,0,0.7423191278493558,0
5388228,1,0.4918970448045758,0
5388228,2,0.4712430426716141,0
5388228,3,0.5600375234521576,0
5716644,0,0.01684836471754212,0
5716644,1,0.012869399428026692,0
5716644,2,0.09740259740259741,0
5716644,3,0.47373358348968103,0
6059380,0,0.49454905847373637,0
6059380,1,0.5529075309818875,0
6059380,2,0.5844155844155844,0
6059380,3,0.5196998123827392,0
6332465,0,0.45589692765113976,0
6332465,1,0.4242135367016206,0
6332465,2,0.39981447124304265,0
6332465,3,0.17354596622889307,0
6750721,0,0.8761149653121902,0
6750721,1,0.8265014299332698,0
6750721,2,0.6233766233766234,0
6750721,3,0.6829268292682927,0
6902469,0,0.8325074331020813,0
6902469,1,0.6015252621544328,0
6902469,2,0.5445269016697588,0
6902469,3,0.5159474671669794,0
7863295,0,0.8225966303270565,0
7863295,1,0.6263107721639657,0
7863295,2,0.5463821892393321,0
7863295,3,0.8658536585365854,0
7947594,0,0.9663032705649157,0
7947594,1,0.8798856053384175,0
