institution_id,institution_name,country_name,latitude,longitude,research_level
43522216,"California State University, Sacramento (US)",United States,38.58157,-121.4944,R2
43579087,University of Wisconsin–Milwaukee (US),United States,43.0389,-87.90647,R1
44265643,Rowan University (US),United States,39.70289,-75.11184,R2
44461941,University of Houston (US),United States,29.76328,-95.36327,R1
44854399,University of Southern Mississippi (US),United States,31.32712,-89.29034,R1
45438204,The University of Texas at San Antonio (US),United States,29.42412,-98.49363,R1
47251452,Wake Forest University (US),United States,36.09986,-80.24422,R2
47301684,Illinois State University (US),United States,40.5142,-88.99063,R2
47838141,Saint Louis University (US),United States,38.62727,-90.19789,R1
48633490,Mass General Brigham (US),United States,42.35843,-71.05977,
49332381,University of Oklahoma Health Sciences Center (US),United States,35.46756,-97.51643,
49886154,Rush University (US),United States,41.85003,-87.65005,R2
51504820,San Jose State University (US),United States,37.33939,-121.89496,R2
51556381,University of Virginia (US),United States,38.02931,-78.47668,R1
51579864,Stryker (United States) (US),United States,42.29171,-85.58723,
51713134,University of Colorado Anschutz Medical Campus (US),United States,39.72943,-104.83192,
52064589,Clark Atlanta University (US),United States,33.749,-84.38798,R2
52357470,The Ohio State University (US),United States,39.96118,-82.99879,R1
52669646,Western Washington University (US),United States,48.75955,-122.48822,D/PU
52792670,HealthPartners (US),United States,44.97997,-93.26384,
53236636,Franklin University (US),United States,39.96118,-82.99879,
53276908,Marymount University (US),United States,38.88101,-77.10428,D/PU
54713919,Geisinger Health System (US),United States,40.96342,-76.61273,
55302922,The University of Texas Medical Branch at Galveston (US),United States,29.30135,-94.7977,R2
55633929,World Bank Group (US),United States,38.89511,-77.03637,
55732556,Arizona State University (US),United States,33.41477,-111.90931,R1
55769427,Indiana University – Purdue University Indianapolis (US),United States,39.76838,-86.15804,R1
55921689,La Roche College (US),United States,40.44062,-79.99589,
57053284,Rockwell Automation (United States) (US),United States,43.0389,-87.90647,
57206974,New York University (US),United States,40.71427,-74.00597,R1
57328836,North Dakota State University (US),United States,46.87719,-96.7898,R1
58610484,Seattle University (US),United States,47.60621,-122.33207,D/PU
58956616,Case Western Reserve University (US),United States,41.4995,-81.69541,R1
59130452,University of Nebraska Medical Center (US),United States,41.25626,-95.94043,
59499333,Optica (US),United States,38.89511,-77.03637,
59553526,Stony Brook University (US),United States,40.92565,-73.14094,R1
59897056,"California State University, Long Beach (US)",United States,33.76696,-118.18923,R2
60205797,Abilene Christian University (US),United States,32.44874,-99.73314,R2
61628605,Smith-Kettlewell Eye Research Institute (US),United States,37.77493,-122.41942,
62856769,Saudi Aramco (United States) (US),United States,29.76328,-95.36327,
63135867,University of Cincinnati (US),United States,39.12711,-84.51439,R1
63190737,"University at Buffalo, State University of New York (US)",United States,42.88645,-78.87837,R1
63533367,General Atomics (United States) (US),United States,32.71571,-117.16472,
63772739,Florida Atlantic University (US),United States,26.35869,-80.0831,R1
63966007,Massachusetts Institute of Technology (US),United States,42.3751,-71.10561,R1
66946132,"University of Maryland, College Park (US)",United States,38.98067,-76.93692,R1
66958751,Woods Hole Oceanographic Institution (US),United States,41.5515,-70.61475,
67328108,"California State University, Fresno (US)",United States,36.74773,-119.77237,R2
68260882,Nevada System of Higher Education (US),United States,39.52963,-119.8138,
70983195,Syracuse University (US),United States,43.04812,-76.14742,R1
71578702,University of Portland (US),United States,45.52345,-122.67621,
71838634,San Francisco State University (US),United States,37.77493,-122.41942,R2
72019824,Virginia Commonwealth University Medical Center (US),United States,37.55376,-77.46026,
72090969,Nokia (United States) (US),United States,32.95457,-97.01501,
72816309,Drexel University (US),United States,39.95238,-75.16362,R1
72951846,Washington State University (US),United States,46.73127,-117.17962,R1
74680897,Procter & Gamble (United States) (US),United States,39.12711,-84.51439,
74760111,Texas Instruments (United States) (US),United States,32.78306,-96.80667,
74775410,Rice University (US),United States,29.76328,-95.36327,R1
74973139,Carnegie Mellon University (US),United States,40.44062,-79.99589,R1
75027704,University of Tennessee at Knoxville (US),United States,35.96064,-83.92074,R1
75420490,Louisiana State University Health Sciences Center New Orleans (US),United States,29.95465,-90.07507,
75421653,University of Missouri–Kansas City (US),United States,39.09973,-94.57857,R1
75929689,UConn Health (US),United States,41.71982,-72.83204,
76766440,University of San Francisco (US),United States,37.77493,-122.41942,R2
76835614,University of Missouri (US),United States,38.95171,-92.33407,R1
77920804,Albany Medical Center Hospital (US),United States,42.65258,-73.75623,
78577930,Columbia University (US),United States,40.71427,-74.00597,R1
78715868,University of Arkansas at Fayetteville (US),United States,36.06258,-94.15743,R1
79272384,"University of Maryland, Baltimore County (US)",United States,39.29038,-76.61219,R1
79463011,Analysis Group (United States) (US),United States,42.35843,-71.05977,
79516672,University of Louisiana at Lafayette (US),United States,30.22409,-92.01984,R1
79576946,University of Pennsylvania (US),United States,39.95238,-75.16362,R1
79620101,University of Arkansas for Medical Sciences (US),United States,34.74648,-92.28959,R2
80605987,NOAA Earth System Research Laboratory (US),United States,40.01499,-105.27055,
81020160,Louisiana State University Health Sciences Center Shreveport (US),United States,32.52515,-93.75018,
81365321,Old Dominion University (US),United States,36.84681,-76.28522,R1
82495205,University of Alabama in Huntsville (US),United States,34.7304,-86.58594,R2
82497590,Auburn University (US),United States,32.60986,-85.48078,R1
82783531,Penn State Milton S. Hershey Medical Center (US),United States,40.28592,-76.65025,
83328450,Miami University (US),United States,39.507,-84.74523,R2
83399316,Rockefeller University (US),United States,40.71427,-74.00597,R2
83809506,University of South Alabama (US),United States,30.69436,-88.04305,R2
83909951,Morgan State University (US),United States,39.29038,-76.61219,R2
83925599,W.E. Upjohn Institute for Employment Research (US),United States,42.29171,-85.58723,
84218800,"University of California, Davis (US)",United States,38.54491,-121.74052,R1
84392919,Temple University (US),United States,39.95238,-75.16362,R1
84470341,Catholic University of America (US),United States,38.89511,-77.03637,R1
84475105,Embry–Riddle Aeronautical University (US),United States,29.21081,-81.02283,
85384741,Heidelberg University (US),United States,41.1145,-83.17797,
86501945,University of Delaware (US),United States,39.68372,-75.74966,R1
86519309,The University of Texas at Austin (US),United States,30.26715,-97.74306,R1
86755215,MedStar Health (US),United States,39.24038,-76.83942,
87208437,University of Tulsa (US),United States,36.15398,-95.99277,R2
87216513,Michigan State University (US),United States,42.73698,-84.48387,R1
87303767,U.S. Army Engineer Research and Development Center (US),United States,32.35265,-90.87788,
87424562,Ithaca College (US),United States,42.44063,-76.49661,
88694374,Marshall University (US),United States,38.41925,-82.44515,R2
90871651,University of Toledo (US),United States,41.66394,-83.55521,R1
91045830,Texas A&M University (US),United States,30.62798,-96.33441,R1
91221267,Minnesota State Colleges and Universities System (US),United States,44.94441,-93.09327,
92156820,University of Cincinnati Medical Center (US),United States,39.12711,-84.51439,
92446798,Colorado State University (US),United States,40.58526,-105.08442,R1
92664306,Walter Reed Army Institute of Research (US),United States,38.99067,-77.02609,
93393672,Western University of Health Sciences (US),United States,34.05529,-117.75228,D/PU
94062374,Florida College (US),United States,28.0353,-82.38926,
94328231,University of Rio Grande and Rio Grande Community College (US),United States,38.87952,-82.38043,
94339441,Western Kentucky University (US),United States,36.99032,-86.4436,D/PU
94396219,Providence Health & Services (US),United States,47.48288,-122.21707,
94658018,University of Memphis (US),United States,35.14953,-90.04898,R1
95240055,Northeast Ohio Medical University (US),United States,41.15756,-81.24205,D/PU
95457486,"University of California, Berkeley (US)",United States,37.87159,-122.27275,R1
96749437,Texas A&M University – Corpus Christi (US),United States,27.80058,-97.39638,R2
97018004,Stanford University (US),United States,37.42411,-122.16608,R1
98704320,Icahn School of Medicine at Mount Sinai (US),United States,40.71427,-74.00597,R2
98813999,American College of Surgeons (US),United States,41.85003,-87.65005,
98947143,California State Polytechnic University (US),United States,34.05529,-117.75228,R2
99041443,Mississippi State University (US),United States,33.45049,-88.81961,R1
99484792,Baxter (United States) (US),United States,42.17114,-87.84451,
100005738,Brigham Young University (US),United States,40.23384,-111.65853,R1
102149020,University of North Carolina at Charlotte (US),United States,35.22709,-80.84313,R1
102298084,Andrews University (US),United States,41.94643,-86.3389,
102322052,The Wistar Institute (US),United States,39.95238,-75.16362,
102322142,"Rutgers, The State University of New Jersey (US)",United States,40.48622,-74.45182,R1
102461120,Marquette University (US),United States,43.0389,-87.90647,R2
102502594,Northern Illinois University (US),United States,41.92947,-88.75036,R2
102607778,Cleveland State University (US),United States,41.4995,-81.69541,R2
103163165,Florida State University (US),United States,30.43826,-84.28073,R1
103187081,Smithsonian Institution (US),United States,38.89511,-77.03637,
103531236,Boston College (US),United States,42.35843,-71.05977,R1
103635307,"University of California, Riverside (US)",United States,33.95335,-117.39616,R1
106165777,University of Central Florida (US),United States,28.53834,-81.37924,R1
106460735,Philadelphia College of Osteopathic Medicine (US),United States,39.95238,-75.16362,D/PU
