institution_id,child,child_name
55633929,1334329717,World Bank (US)
57053284,4210127883,Rockwell Automation (Canada) (CA)
57206974,36672615,Courant Institute of Mathematical Sciences (US)
57206974,120250893,New York University Abu Dhabi (AE)
57206974,258800397,New York University Shanghai (CN)
57206974,2799442855,New York University Press (US)
57206974,4210123063,New York University Florence (IT)
58956616,4390039247,Case Comprehensive Cancer Center
63772739,734295,Harbor Branch Oceanographic Institute (US)
63966007,144112489,McGovern Institute for Brain Research (US)
63966007,2802422659,"Ragon Institute of MGH, MIT and Harvard (US)"
63966007,4210109539,Institute for Soldier Nanotechnologies (US)
63966007,4210122954,MIT Lincoln Laboratory (US)
63966007,4210125891,MIT Sea Grant (US)
63966007,4210127055,Athinoula A. Martinos Center for Biomedical Imaging (US)
63966007,4210157710,Whitehead Institute for Biomedical Research (US)
63966007,4210159271,MIT-Harvard Center for Ultracold Atoms (US)
63966007,4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions (US)
63966007,4390039253,Koch Institute for Integrative Cancer Research At MIT
66946132,39822340,Virginia–Maryland College of Veterinary Medicine (US)
66946132,112475681,Joint Global Change Research Institute (US)
66946132,4210108409,Joint Center for Quantum Information and Computer Science (US)
66946132,4210144776,Earth System Science Interdisciplinary Center (US)
66946132,4210151733,Joint Quantum Institute (US)
66946132,4389425230,Institute for Bioscience and Biotechnology Research
68260882,38055623,Truckee Meadows Community College (US)
68260882,60138030,Desert Research Institute (US)
68260882,109830273,College of Southern Nevada (US)
68260882,133999245,"University of Nevada, Las Vegas (US)"
68260882,134113660,"University of Nevada, Reno (US)"
68260882,147912653,Nevada State University (US)
72951846,16109614,Washington State University Tri-Cities (US)
72951846,137317281,Washington State University Vancouver (US)
72951846,170632171,Washington State University Spokane (US)
74680897,4210108292,Procter & Gamble (Netherlands) (NL)
74680897,4210114316,Procter & Gamble (Belgium) (BE)
74680897,4210115918,Procter & Gamble (United Kingdom) (GB)
74680897,4210128863,Procter & Gamble (Germany) (DE)
74760111,4210109535,Texas Instruments (India) (IN)
74775410,4210145836,Center for Theoretical Biological Physics (US)
74973139,114772536,Software Engineering Institute (US)
74973139,4210086114,Center for the Neural Basis of Cognition (US)
74973139,4210089979,Carnegie Mellon University Qatar (QA)
74973139,4210130200,Carnegie Mellon University Africa (RW)
75027704,4210159558,Joint Institute for Computational Sciences (US)
75420490,2801463575,University Medical Center New Orleans (US)
78577930,152304114,Lamont-Doherty Earth Observatory (US)
78577930,4387154024,ICAP Global Health
79576946,4210127693,Penn Center for AIDS Research (US)
80605987,4210128139,NOAA Physical Sciences Laboratory (US)
80605987,4210132178,NOAA Chemical Sciences Laboratory (US)
80605987,4387930204,NOAA Global Systems Laboratory
82495205,4210108285,National Space Science and Technology Center (US)
84392919,2800733455,Temple University Ambler (US)
86519309,4388482719,"Applied Research Laboratories, The University of Texas at Austin"
86519309,4388891828,Texas Advanced Computing Center
86519309,4403928371,Bureau of Economic Geology
86755215,1285739803,MedStar Washington Hospital Center (US)
86755215,1297146656,MedStar National Rehabilitation Hospital (US)
86755215,2801039139,MedStar Good Samaritan Hospital (US)
86755215,2802270869,Montgomery General Hospital (US)
86755215,2802534011,MedStar Georgetown University Hospital (US)
86755215,4210154815,MedStar Heart & Vascular Institute (US)
87216513,1297883686,McLaren Regional Medical Center (US)
87216513,4210094386,National Superconducting Cyclotron Laboratory (US)
87216513,4387153336,Facility for Rare Isotope Beams
87303767,2800251061,Cold Regions Research and Engineering Laboratory (US)
87303767,4210141313,Geotechnical and Structures Laboratory (US)
87303767,4389425429,U.S. Army Corp of Engineers Waterways Experiment Station
87303767,4400009010,Construction Engineering Research Laboratory
91045830,58152225,Texas A&M University at Qatar (QA)
91045830,125029298,Texas A&M Health Science Center (US)
91045830,4210131387,Texas A&M University School of Law (US)
91045830,4391767840,Texas A&M Engineering Experiment Station
91221267,5795714,Winona State University (US)
91221267,50898853,Bemidji State University (US)
91221267,65625852,Southwest Minnesota State University (US)
91221267,99069390,Metropolitan State University (US)
91221267,152014189,"Minnesota State University, Mankato (US)"
91221267,166613482,Minnesota State University Moorhead (US)
91221267,173963315,St. Cloud State University (US)
91221267,188654090,Normandale Community College (US)
91221267,193057718,Century College (US)
91221267,2799307983,Anoka-Ramsey Community College (US)
91221267,2802852257,Saint Paul College (US)
91221267,3133233452,Minnesota West Community & Technical College (US)
92664306,2802125050,United States Army Medical Research Directorate - Africa (KE)
94396219,1282676378,Providence Sacred Heart Medical Center (US)
94396219,1302084367,Providence Saint Joseph Medical Center (US)
94396219,1342778266,Providence Regional Medical Center Everett (US)
94396219,2800427677,Providence Alaska Medical Center (US)
94396219,4210093417,Swedish Medical Center (US)
94396219,4210104056,Saint John's Health Center (US)
94396219,4210130722,Little Company of Mary Hospital (US)
94396219,4210161950,Providence St. Peter Hospital (US)
95457486,103922791,QB3 (US)
95457486,4210109258,Innovative Genomics Institute (US)
95457486,4210114105,Tsinghua–Berkeley Shenzhen Institute (CN)
95457486,4210144282,Plant Gene Expression Center (US)
97018004,2801935854,SLAC National Accelerator Laboratory (US)
97018004,4210094059,Kavli Institute for Particle Astrophysics and Cosmology (US)
97018004,4210110647,Children's Hospital Central California (US)
97018004,4210111952,Brown Institute for Media Innovation (US)
97018004,4210120900,Stanford Synchrotron Radiation Lightsource (US)
97018004,4210137306,Stanford Medicine (US)
97018004,4392738099,Stanford SystemX Alliance
98704320,4390039328,Tisch Cancer Institute
99484792,4210101150,Baxter (Austria) (AT)
99484792,4210145546,Baxter (Germany) (DE)
99484792,4210148813,Baxter (Sweden) (SE)
99484792,4210154823,Baxter (Belgium) (BE)
102322052,4210127693,Penn Center for AIDS Research (US)
102322142,2799411422,Center for Discrete Mathematics and Theoretical Computer Science (US)
102322142,4390039302,Rutgers Health
103163165,115600460,Florida State University-Panama (PA)
103163165,1323276237,Florida A&M University - Florida State University College of Engineering (US)
103163165,4210132808,National High Magnetic Field Laboratory (US)
103163165,4402554067,FSU Coastal and Marine Laboratory
103187081,52218309,Smithsonian Environmental Research Center (US)
103187081,128212801,Smithsonian Tropical Research Institute (PA)
103187081,1298342388,National Museum of the American Indian (US)
103187081,1318617081,Woodrow Wilson International Center for Scholars (US)
103187081,1341618623,National Museum of Natural History (US)
103187081,2800056074,Smithsonian Conservation Biology Institute (US)
103187081,2801122317,Smithsonian Libraries (US)
103187081,2801899300,Arthur M. Sackler Gallery (US)
103187081,2802313673,Museum Conservation Institute (US)
103187081,4210092231,Smithsonian Marine Station (US)
103187081,4210097914,ForestGEO (US)
103187081,4210113136,National Zoological Park (US)
103187081,4210124175,Center for Astrophysics Harvard & Smithsonian (US)
103187081,4210126947,National Air and Space Museum (US)
106745318,4210109053,NOAA National Marine Fisheries Service Alaska Fisheries Science Center (US)
106745318,4210109599,NOAA National Marine Fisheries Service Southwest Fisheries Science Center (US)
106745318,4210121297,NOAA National Marine Fisheries Service Northeast Fisheries Science Center (US)
106745318,4210124611,NOAA National Marine Fisheries Service Pacific Islands Fisheries Science Center (US)
106745318,4210131645,NOAA National Marine Fisheries Service Southeast Fisheries Science Center (US)
106745318,4210166920,NOAA National Marine Fisheries Service Northwest Fisheries Science Center (US)
107341208,13115107,Louisiana State University of Alexandria (US)
107341208,26489229,Louisiana State University in Shreveport (US)
107341208,75420490,Louisiana State University Health Sciences Center New Orleans (US)
107341208,81020160,Louisiana State University Health Sciences Center Shreveport (US)
107341208,103990859,Pennington Biomedical Research Center (US)
107341208,121820613,Louisiana State University (US)
107341208,134386540,Louisiana State University Agricultural Center (US)
107672454,4390039337,Dartmouth Health
107766831,115194318,High Altitude Observatory (US)
107766831,4210133469,Climate and Global Dynamics Laboratory (US)
107766831,4387152923,Research Applications Laboratory
108468826,4388482676,Systems Engineering Research Center
108785884,1324574813,Primary Children's Hospital (US)
108785884,2800489302,Logan Regional Hospital (US)
108785884,2801171160,McKay Dee Hospital (US)
108785884,2801837686,American Fork Hospital (US)
108785884,2801974725,Orthopedic Specialty Hospital (US)
108785884,2801996072,LDS Hospital (US)
108785884,2803061204,Intermountain Medical Center (US)
108785884,4210110497,Utah Valley Regional Medical Center (US)
111088046,4210123017,Framingham Heart Study (US)
111979921,4391768238,International Institute for Nanotechnology
114027177,4210131205,UNC/NCSU Joint Department of Biomedical Engineering (US)
114027177,4390039329,UNC Lineberger Comprehensive Cancer Center
114073160,1317822957,Palo Alto Medical Foundation (US)
114073160,2799793717,Sutter Medical Center (US)
114073160,2801780550,California Pacific Medical Center (US)
114073160,4210090171,Memorial Medical Center (US)
114073160,4210124134,Mills Peninsula Health Services (US)
114073160,4210125323,Sutter Roseville Medical Center (US)
114073160,4210136293,Eden Medical Center (US)
114073160,4210153265,Alta Bates Summit Medical Center (US)
114073160,4210159135,Alta Bates Summit Medical Center (US)
114395901,4391767667,Institute of Agriculture and Natural Resources
114662689,4396570585,Leidos Biomedical Research Inc. (United States)
116530498,2800468613,Inova Fairfax Hospital (US)
116530498,4210089170,Inova Loudoun Hospital (US)
116530498,4210119399,Inova Children's Hospital (US)
116530498,4210149241,Inova Alexandria Hospital (US)
117397414,4210119112,Aurora St. Luke's Medical Center (US)
117397414,4210143170,Vince Lombardi Cancer Clinic (US)
117397414,4210144123,Aurora Sinai Medical Center (US)
