topic_id,feature_0,feature_1
10367,30.433992385864254,-7.012497425079346
11862,30.46088218688965,-6.394046306610107
12033,30.82370948791504,-7.78708028793335
12098,31.427316665649418,-3.5806901454925537
12904,21.01449966430664,14.32669734954834
13010,-16.682939529418945,-2.770394802093506
13011,24.062177658081055,51.15012741088867
13054,9.97502326965332,-4.406983852386475
13240,-11.341757774353027,6.86408805847168
13288,54.62925338745117,-2.4536426067352295
13468,22.164806365966797,56.38274765014648
13478,-17.09699058532715,-1.8402992486953735
13508,-20.450681686401367,1.5738730430603027
13630,54.26091384887695,-3.8786849975585938
13678,-16.94984245300293,-1.4246547222137451
13838,-41.32941818237305,-2.3241562843322754
14018,-19.735445022583008,-6.270071506500244
14269,63.60926818847656,-14.204364776611328
14405,-10.388126373291016,-5.643474102020264
14505,-16.96762466430664,-0.8912357687950134
10098,-22.838001251220703,0.4480204880237579
10584,-23.123775482177734,0.065973088145256
11226,-23.264253616333008,3.3047173023223877
11560,-29.64250373840332,7.867569923400879
12003,-36.38327407836914,-13.908818244934082
12310,-37.32333755493164,-12.167692184448242
12436,-38.33566665649414,-11.894657135009766
13358,-21.6328125,1.4055590629577637
13378,54.01296615600586,-3.7413136959075928
13628,-19.7273006439209,-6.505160331726074
14499,-16.680830001831055,-1.352911114692688
10152,-24.385719299316406,1.1780952215194702
10333,-41.37678909301758,1.9591529369354248
11495,-29.97415351867676,9.4697904586792
12365,-22.922677993774418,0.8020569086074829
12674,-22.60533905029297,1.5303432941436768
12691,-28.567100524902344,3.1227688789367676
13294,-22.88117218017578,1.6883816719055176
13338,-48.77952575683594,9.094669342041016
10450,-27.848831176757812,-8.362842559814453
11390,-51.55680847167969,-14.084064483642578
12319,-27.240835189819336,-9.310649871826172
12710,-1.947811484336853,-24.505468368530273
12841,-24.15611457824707,-8.1756010055542
13391,-9.044149398803713,-2.8004586696624756
13892,-17.45307159423828,-2.703849077224731
10174,-27.1656551361084,-2.5737929344177246
10385,-34.34028244018555,-4.781355381011963
10439,-13.93391227722168,-10.607695579528809
10487,-35.20113754272461,-0.8343170881271362
11228,-26.66045188903809,-2.7723610401153564
11494,-33.5154914855957,-0.7368767261505127
11528,-34.4505500793457,-7.476813316345215
11836,-34.28709411621094,-7.387106418609619
11900,-42.86795425415039,-8.2619047164917
12001,-32.18149185180664,-0.881825864315033
12132,-32.10969161987305,-1.226118087768555
12329,-32.78425979614258,-0.2020459771156311
12359,-33.734039306640625,-3.1638002395629883
12361,-31.10007095336914,-0.5917593240737915
12568,-34.348995208740234,-6.201292991638184
12596,-24.78692054748535,-7.874442100524902
12606,-31.56831169128418,-0.9403936266899108
12733,-29.228376388549805,7.244678020477295
12832,-29.923311233520508,-12.846548080444336
12934,-42.34091567993164,-7.769381046295166
13168,-34.50300216674805,-6.3318562507629395
13269,-31.740196228027344,-1.3176400661468506
13396,-14.551470756530762,-7.770077705383301
13506,-53.3646125793457,-10.264071464538574
13679,-7.178811550140381,-0.4263758957386017
13781,-32.636016845703125,-0.9799782037734984
13899,-21.22466087341309,1.374168038368225
13950,-31.49565315246582,-1.590510010719299
14137,-33.62158203125,-13.791296005249023
14160,7.092532634735107,11.506206512451172
14310,-31.751876831054688,-2.3144986629486084
14378,-31.84027671813965,0.0262624565511941
14399,-29.092639923095703,-4.902538776397705
10141,-42.65968704223633,2.0671257972717285
10225,-57.31642150878906,-7.598852634429932
10411,-47.70536422729492,-15.96949291229248
10486,-32.107940673828125,9.920323371887209
10650,-45.203670501708984,-16.50768280029297
10750,-48.352516174316406,-12.58432674407959
11423,-34.110050201416016,-23.984148025512695
11745,-39.1873664855957,-10.689516067504885
11925,28.86099624633789,-4.401939868927002
11957,-19.01457405090332,3.7733733654022217
12048,-46.195953369140625,-16.24904441833496
12114,-39.592437744140625,-0.4954681992530823
12181,-16.909238815307617,-0.9131275415420532
12192,-47.89200210571289,-16.0595645904541
12330,-41.292118072509766,-10.845303535461426
12349,-47.4461669921875,-12.038719177246094
12385,-50.433311462402344,-11.803117752075195
12403,-45.25696563720703,-9.711033821105955
12468,-15.203499794006348,9.288042068481444
12486,-9.482230186462402,-4.408901214599609
12583,-19.008310317993164,3.487971305847168
13165,-13.681467056274414,5.903402805328369
13540,-22.564029693603516,1.8155611753463743
13670,-48.33842086791992,-5.8989129066467285
13857,2.0808298587799072,-26.868484497070312
13871,-7.973524570465088,-1.2217097282409668
14010,-19.615962982177734,-6.065971851348877
14124,8.941667556762695,52.51979446411133
14127,-18.063657760620117,-1.85283887386322
14242,0.7534613609313965,7.947432518005371
14272,-41.3472785949707,-2.3095195293426514
14438,3.571228504180908,-20.30821228027344
12630,-52.64210510253906,-10.047472953796388
13009,-36.07331085205078,-13.627979278564451
13591,-33.36665344238281,-10.82065200805664
13668,-11.900261878967283,-4.658727169036865
14050,-15.361939430236816,-1.2013288736343384
14256,-42.68111038208008,-3.51985239982605
14367,-4.606215476989746,5.756284236907959
13069,-42.260765075683594,-7.894403457641602
10135,-35.161006927490234,0.9799700379371644
11386,-51.33496856689453,-8.862030982971191
11436,-33.650108337402344,1.2015631198883057
11641,-35.00249099731445,1.5749675035476685
11706,-30.52121925354004,1.097665309906006
12043,-33.945133209228516,0.410873144865036
12134,-33.15032196044922,1.6993223428726196
12234,-24.81821632385254,-6.9498138427734375
12321,-36.64673614501953,-2.259204387664795
12336,-33.419769287109375,1.5430282354354858
12701,-33.470947265625,-2.7484872341156006
12713,-32.44552993774414,-5.981637001037598
12968,-32.16968536376953,-1.9560625553131104
14048,-41.77650833129883,-6.103194713592529
10014,-40.491947174072266,-14.666894912719728
10076,-38.084197998046875,-8.62474536895752
10184,-41.64153289794922,-14.189818382263184
10431,-52.8175048828125,-9.38281536102295
10434,-38.050071716308594,-5.9697394371032715
10451,-35.35200881958008,-7.54115629196167
10473,-40.80739212036133,-12.31081771850586
10494,-38.1396598815918,-7.105442047119141
10520,-39.44614028930664,-8.316756248474121
10616,-34.817352294921875,-16.302824020385742
10733,-36.91972351074219,-10.37873363494873
10774,-40.448020935058594,-10.29689121246338
10869,-48.292388916015625,-15.245665550231934
10875,-34.1033821105957,-23.866649627685547
11065,-34.89712905883789,1.479561686515808
11066,28.90114402770996,-5.15329122543335
11098,-39.92637252807617,-10.504075050354004
11136,-47.42706298828125,-14.0103120803833
11179,-39.84355163574219,-7.6508402824401855
11229,-36.76054763793945,-10.716540336608888
11247,-40.58868789672851,-14.456426620483398
11268,-42.2022705078125,-13.945693016052246
11418,-39.95897674560547,-15.209540367126465
11426,-11.752293586730955,6.652538776397705
11470,-38.30012893676758,-9.333192825317385
11546,-40.469051361083984,-12.342364311218262
11578,-38.6258430480957,-7.775444507598877
11613,-56.446144104003906,-7.38563346862793
11750,-32.90882110595703,-2.1927332878112793
11760,-38.83494567871094,-14.67941665649414
11771,-37.73677444458008,-8.488823890686035
11796,-40.57878494262695,-12.459856986999512
11973,-49.57249450683594,-4.941646575927734
11979,-43.87140655517578,-8.967721939086914
12045,-37.33951568603515,-12.29396629333496
12058,-40.899112701416016,-10.102709770202637
12087,-49.35396957397461,-4.725986957550049
12093,-35.99811935424805,-15.716246604919434
12113,-38.5341911315918,-13.17616844177246
12115,-41.516868591308594,-7.725929737091064
12161,-39.81483840942383,-17.460750579833984
12211,-34.94404220581055,-20.539480209350582
12243,-42.481815338134766,-9.919382095336914
12253,27.7763671875,-4.325030326843262
12305,-42.230621337890625,-11.017951965332031
12344,-37.06253433227539,-17.871238708496094
12346,-52.97987747192383,-6.914546966552734
12407,-39.529327392578125,-10.99459457397461
12431,-37.698707580566406,-15.385089874267578
12455,-33.269386291503906,-6.069674015045166
12472,-39.27318572998047,-14.530410766601562
12475,-35.07167434692383,-4.307688236236572
12571,-39.05150604248047,-10.46802806854248
12605,-41.8216552734375,-9.23705005645752
12618,-33.21639633178711,-7.632256984710693
12657,-50.02190780639648,-7.925614356994629
12660,-40.08407211303711,-8.946978569030762
12665,-42.28536605834961,-18.03007125854492
12721,-48.01723098754883,-9.746193885803224
12732,-4.922487258911133,13.64109230041504
12742,-43.71455383300781,-10.205744743347168
12771,-40.97418975830078,-9.040233612060549
12795,-40.624324798583984,-11.469823837280272
12813,-38.194210052490234,-2.5528695583343506
12828,-39.23271942138672,-9.673580169677734
12834,-39.67634201049805,-10.755270957946776
12855,-43.34113311767578,-10.02505874633789
12858,-37.77053451538086,-8.231010437011719
12894,-36.73950958251953,-2.3470168113708496
12944,-18.61194229125977,-6.11709451675415
12991,-49.47414016723633,-13.356643676757812
13008,-41.47991180419922,-7.295036792755127
13015,-33.921531677246094,-5.3200483322143555
13125,-40.81792068481445,-6.596158027648926
13142,-49.34777069091797,-12.9083833694458
13214,-41.58285140991211,-8.645456314086914
13218,-47.230342864990234,-6.449405193328857
13238,-44.34969329833984,-7.678210735321045
13246,-36.439849853515625,-10.918648719787598
13390,18.421611785888672,49.37489318847656
13422,-48.740821838378906,-4.831717014312744
13688,-11.525107383728027,-2.2839417457580566
13934,0.011368291452527,4.605254173278809
13992,-48.18971633911133,-6.265737056732178
14009,-33.618408203125,-13.805996894836426
14194,-10.53205108642578,0.262217253446579
14195,3.747625827789306,-2.407123327255249
14365,-35.389583587646484,-15.950565338134766
14398,18.856727600097656,47.397979736328125
14521,-17.77613639831543,-0.4863937795162201
10004,-24.091590881347656,-16.022571563720703
10889,-20.23152732849121,-17.178577423095703
11275,-37.62281036376953,-16.367321014404297
11404,-37.63911819458008,-14.345450401306152
11789,30.61147689819336,-6.245699405670166
11886,31.68254280090332,-6.987202167510986
12294,-37.97783660888672,-12.07842254638672
12754,-17.69734001159668,-1.331697702407837
12792,-38.011207580566406,-13.761131286621094
13102,-19.845176696777344,-6.76194953918457
13740,19.00926971435547,46.92259216308594
14054,-10.528754234313965,-2.0417439937591553
10676,-52.92795181274414,20.539396286010746
11481,-47.435794830322266,15.163005828857422
11844,-43.56354904174805,12.830865859985352
12497,-55.268798828125,-10.189541816711426
12770,-47.75244140625,15.898185729980469
12910,-42.52556228637695,16.508493423461914
12915,-44.7236442565918,17.139694213867188
13711,36.4919319152832,5.890363693237305
10540,-27.815540313720703,-32.43254852294922
10874,-6.819522857666016,2.1612389087677
11324,-28.84471321105957,-32.697940826416016
12381,-39.01579284667969,-42.98151397705078
12859,-28.188467025756836,-32.07166290283203
14488,-7.179846286773682,1.9922571182250977
10900,-33.45225143432617,9.302173614501951
11340,-55.95204544067383,-12.455262184143066
11455,-34.12724304199219,8.9994478225708
11617,-49.85523223876953,-14.703866958618164
12673,-48.57371139526367,-14.228081703186035
12856,-38.67503356933594,-7.257839679718018
12996,-58.38660430908203,24.813812255859375
14150,-47.0743293762207,-11.62269687652588
10062,-58.15407180786133,24.2030029296875
10183,-40.184837341308594,46.20075988769531
10433,-32.52333068847656,-22.984140396118164
10515,-58.41246795654297,24.26349449157715
10620,-51.795684814453125,30.605539321899418
10631,-57.39482116699219,26.65233039855957
11287,-59.05778503417969,26.235984802246097
11547,-53.90652847290039,-8.500640869140625
11591,-53.51295471191406,30.181400299072266
12465,-40.28974151611328,15.113685607910156
13350,-12.698492050170898,1.5960310697555542
13943,-10.215497016906738,1.8997184038162231
13971,-45.56789779663086,-38.089805603027344
10379,-56.900779724121094,6.316516876220703
10492,-55.75950622558594,24.10928726196289
10617,-51.92102813720703,25.485107421875
10825,-37.03499221801758,-7.929848670959473
11131,-52.33422088623047,30.32691764831543
11144,-44.42608642578125,37.90834045410156
11150,-52.07164764404297,26.03312110900879
11399,-17.776491165161133,27.90070152282715
11650,-45.04434967041016,39.18708419799805
11685,-51.6763916015625,22.053815841674805
12065,-53.498992919921875,24.01752471923828
12094,-46.97270584106445,15.340948104858398
12533,-44.51694107055664,17.909278869628906
12712,-19.70723533630371,37.27829360961914
12793,-49.90462493896485,24.999584197998047
13127,-49.711517333984375,23.154125213623047
13637,-46.089725494384766,22.840600967407227
11027,-40.52532958984375,17.51226806640625
11142,-44.56352615356445,16.61591911315918
12167,-31.869569778442383,12.648062705993652
12975,-47.77592086791992,-1.8998879194259644
11665,-26.361888885498047,-2.3314731121063232
13107,-35.97395324707031,38.854042053222656
10943,-31.921920776367188,10.024251937866213
11684,-32.0599250793457,10.096696853637695
11916,-25.471206665039062,12.790574073791504
12499,-24.62594985961914,11.673489570617676
