institution_id,year,relative_impact,impact_uniformity,domain_id
4210113003,2014,1.1003239990783955,0.7763731684228757,0
4210113003,2015,0.9586624676235658,0.8069120024488511,0
4210113003,2016,1.4826808070571258,0.8677309807374384,0
4210113003,2017,1.1775590740759978,0.42896383625442036,0
4210113003,2018,2.486045653075712,1.0827771691078816,0
4210113003,2019,1.7204307329140216,1.229221191472132,0
4210113003,2020,1.688409088304484,1.0483459623035352,0
4210113003,2021,0.7303585415741537,1.0799564705461093,0
4210113003,2022,0.6119527679031789,0.5046159737443922,0
4210113003,2023,0.983586625258105,0.6614055945137616,0
4210113003,2024,0.9229659215286343,1.0438463050646907,0
4210113540,2014,0.8306059033476261,0.8845911581538821,0
4210113540,2015,0.8379737248129933,0.6015439800310801,0
4210113540,2016,0.7012495711076705,0.7191193818507172,0
4210113540,2017,1.0271914775483522,0.9299459933999934,0
4210113540,2018,0.7555624300134897,0.7887497465221479,0
4210113540,2019,1.0917840782108217,1.0093816682273264,0
4210113540,2020,0.8690389713094985,0.8382519109856579,0
4210113540,2021,1.2206824839712547,0.7271526792618608,0
4210113540,2022,1.0634303357882076,0.7132203718211751,0
4210113540,2023,0.6197455984353409,0.6603627425035455,0
4210113540,2024,1.3094022234366538,0.46233893833657536,0
4210114115,2014,0.8184075057552,0.6332655634472533,0
4210114115,2015,1.0723403956223243,0.6623551830757959,0
4210114115,2016,0.7830816789297528,0.5194957754991435,0
4210114115,2017,1.0244256300158536,0.800595678233464,0
4210114115,2018,1.4403732814555106,0.7250778288431045,0
4210114115,2019,0.9352272037869133,0.7211191250432591,0
4210114115,2020,1.168709052390664,0.7292979422803464,0
4210114115,2021,1.0894852776417658,0.524788244259662,0
4210114115,2022,0.9466176205906992,0.5729344825939156,0
4210114115,2023,1.3889308518400318,0.4023103044987785,0
4210114115,2024,1.0743551835817393,0.8011954845209389,0
4210114143,2014,0.8922627750055244,0.7667564489429955,0
4210114143,2015,0.6905494249907601,0.6527167351589359,0
4210114143,2016,0.7037622668073074,0.672156609314917,0
4210114143,2017,0.6069882255518629,0.6937217516204249,0
4210114143,2018,0.682709670105206,0.7560543861409875,0
4210114143,2019,0.7054274537487678,0.6977773748587597,0
4210114143,2020,0.6994251988128676,0.7171738716077183,0
4210114143,2021,0.7894847734255077,0.834857980594376,0
4210114143,2022,0.7120314078651032,0.40397053490904083,0
4210114143,2023,0.7410153204350826,0.5340276726737649,0
4210114143,2024,0.5357893199965329,0.7029678481186472,0
4210114444,2014,0.45166763754090267,0.6904641845955508,0
4210114444,2015,1.4323571049946195,0.9845475897505368,0
