institution_id,period_id,disorder_index,domain_id
392282,0,0.6330188679245283,0
392282,1,0.6512059369202227,0
392282,2,0.8574057037718491,0
392282,3,0.7539170506912443,0
430192,0,0.6773584905660377,0
430192,1,0.24397031539888683,0
430192,2,0.7838086476540939,0
430192,3,0.9013824884792627,0
430641,0,0.8433962264150944,0
430641,1,0.7476808905380334,0
430641,2,0.29898804047838085,0
430641,3,0.20368663594470046,0
592451,0,0.8273584905660377,0
592451,1,0.7504638218923934,0
592451,2,0.7543698252069917,0
592451,3,0.7493087557603687,0
1174212,0,0.7245283018867924,0
1174212,1,0.5899814471243042,0
1174212,2,0.33486660533578655,0
1174212,3,0.4663594470046083,0
1629065,0,0.3632075471698113,0
1629065,1,0.18460111317254174,0
1629065,2,0.2281508739650414,0
1629065,3,0.5364055299539171,0
1743320,0,0.16792452830188678,0
1743320,1,0.4619666048237477,0
1743320,2,0.2907083716651334,0
1743320,3,0.5336405529953917,0
1925986,0,0.5509433962264151,0
1925986,1,0.7217068645640075,0
1925986,2,0.8068077276908924,0
1925986,3,0.6866359447004609,0
2613432,0,0.9037735849056604,0
2613432,1,0.7291280148423006,0
2613432,2,0.7893284268629255,0
2613432,3,0.6995391705069124,0
4179309,0,0.8415094339622642,0
4179309,1,0.9294990723562152,0
4179309,2,0.9448022079116836,0
4179309,3,0.22857142857142856,0
4322298,0,0.5037735849056604,0
4322298,1,0.8877551020408163,0
4322298,2,0.8095676172953082,0
4322298,3,0.29861751152073734,0
4777552,0,0.9877358490566037,0
4777552,1,0.987012987012987,0
4777552,2,0.9788408463661453,0
4777552,3,0.9529953917050691,0
5388228,0,0.7849056603773585,0
5388228,1,0.5046382189239332,0
5388228,2,0.41306347746090155,0
5388228,3,0.38064516129032255,0
5716644,0,0.11981132075471698,0
5716644,1,0.43692022263450836,0
5716644,2,0.36430542778288866,0
5716644,3,0.5880184331797235,0
6059380,0,0.2509433962264151,0
6059380,1,0.3144712430426716,0
6059380,2,0.5400183992640294,0
6059380,3,0.295852534562212,0
6332465,0,0.6613207547169812,0
6332465,1,0.5055658627087198,0
6332465,2,0.5197792088316467,0
6332465,3,0.4304147465437788,0
6750721,0,0.9839622641509433,0
6750721,1,0.9137291280148423,0
6750721,2,0.9981600735970562,0
6750721,3,0.9972350230414746,0
6902469,0,0.419811320754717,0
6902469,1,0.1679035250463822,0
6902469,2,0.12695492180312787,0
6902469,3,0.15576036866359447,0
7863295,0,0.5084905660377359,0
7863295,1,0.8441558441558441,0
7863295,2,0.6632934682612696,0
7863295,3,0.7133640552995392,0
7947594,0,0.2943396226415094,0
7947594,1,0.3692022263450835,0
7947594,2,0.5970561177552898,0
7947594,3,0.4774193548387097,0
8078737,0,0.5556603773584906,0
8078737,1,0.8348794063079777,0
8078737,2,0.8408463661453542,0
8078737,3,0.896774193548387,0
8248082,0,0.9160377358490566,0
8248082,1,0.7903525046382189,0
8248082,2,0.9475620975160993,0
8248082,3,0.9751152073732718,0
8606887,0,0.9122641509433962,0
8606887,1,0.1790352504638219,0
8606887,2,0.19963201471941122,0
8606887,3,0.32350230414746545,0
8692664,0,0.9566037735849057,0
8692664,1,0.9693877551020408,0
8692664,2,0.8868445262189513,0
8692664,3,0.8682027649769585,0
10052268,0,0.5924528301886792,0
10052268,1,0.5296846011131725,0
10052268,2,0.30542778288868444,0
10052268,3,0.6202764976958526,0
11874761,0,0.49056603773584906,0
11874761,1,0.5435992578849722,0
11874761,2,0.9319227230910764,0
11874761,3,0.6829493087557603,0
11883440,0,0.21226415094339623,0
11883440,1,0.6521335807050093,0
11883440,2,0.500459981600736,0
11883440,3,0.11889400921658987,0
11957088,0,0.22264150943396227,0
11957088,1,0.6419294990723562,0
11957088,2,0.42778288868445263,0
11957088,3,0.535483870967742,0
12057038,0,0.5330188679245284,0
12057038,1,0.7439703153988868,0
12057038,2,0.6264949402023919,0
12057038,3,0.38433179723502303,0
12097938,0,0.9679245283018868,0
12097938,1,0.9619666048237476,0
12097938,2,0.8969641214351426,0
12097938,3,0.9483870967741935,0
12315562,0,0.9537735849056603,0
12315562,1,0.9879406307977736,0
12315562,2,0.9751609935602575,0
12315562,3,0.9870967741935484,0
12834331,0,0.9245283018867925,0
12834331,1,0.8283858998144712,0
12834331,2,0.8776448942042319,0
12834331,3,0.9216589861751152,0
12912129,0,0.5122641509433963,0
12912129,1,0.7115027829313544,0
12912129,2,0.37074517019319225,0
12912129,3,0.40276497695852537,0
13511017,0,0.940566037735849,0
13511017,1,0.9109461966604824,0
13511017,2,0.8417663293468262,0
13511017,3,0.712442396313364,0
14285509,0,0.7603773584905661,0
14285509,1,0.5074211502782932,0
14285509,2,0.39558417663293466,0
14285509,3,0.4184331797235023,0
16269868,0,0.08396226415094339,0
16269868,1,0.4536178107606679,0
16269868,2,0.26770929162833484,0
16269868,3,0.5723502304147465,0
16285277,0,0.9084905660377358,0
16285277,1,0.6280148423005566,0
16285277,2,0.3514259429622815,0
16285277,3,0.6626728110599078,0
16452829,0,0.909433962264151,0
16452829,1,0.8589981447124304,0
16452829,2,0.8086476540938362,0
16452829,3,0.784331797235023,0
16820183,0,0.8216981132075472,0
16820183,1,0.7680890538033395,0
16820183,2,0.8675252989880404,0
16820183,3,0.8460829493087557,0
16944753,0,0.47452830188679246,0
16944753,1,0.7560296846011132,0
16944753,2,0.7626494940202392,0
16944753,3,0.9723502304147466,0
17301866,0,0.969811320754717,0
17301866,1,0.963821892393321,0
17301866,2,0.6844526218951242,0
17301866,3,0.5778801843317972,0
17626003,0,0.8245283018867925,0
17626003,1,0.9499072356215214,0
17626003,2,0.9972401103955841,0
17626003,3,0.992626728110599,0
18241798,0,0.12452830188679245,0
18241798,1,0.525974025974026,0
18241798,2,0.48850045998160074,0
18241798,3,0.663594470046083,0
19085752,0,0.13962264150943396,0
19085752,1,0.04638218923933209,0
19085752,2,0.03403863845446182,0
19085752,3,0.04423963133640553,0
19648265,0,0.8575471698113207,0
19648265,1,0.7077922077922078,0
19648265,2,0.5924563017479301,0
19648265,3,0.9059907834101383,0
19700959,0,0.7650943396226415,0
19700959,1,0.8951762523191095,0
19700959,2,0.8822447102115916,0
19700959,3,0.8672811059907835,0
19772626,0,0.6622641509433962,0
19772626,1,0.6493506493506493,0
19772626,2,0.33394664213431463,0
19772626,3,0.10046082949308756,0
20089843,0,0.8471698113207548,0
20089843,1,0.5853432282003711,0
20089843,2,0.48666053357865685,0
20089843,3,0.4930875576036866,0
20382870,0,0.9283018867924528,0
20382870,1,0.9564007421150278,0
20382870,2,0.8877644894204232,0
20382870,3,0.7815668202764977,0
20388574,0,0.21037735849056605,0
20388574,1,0.3209647495361781,0
20388574,2,0.546458141674333,0
20388574,3,0.45622119815668205,0
22433950,0,0.11415094339622642,0
22433950,1,0.15769944341372913,0
22433950,2,0.22355105795768168,0
22433950,3,0.8027649769585253,0
23732399,0,0.6566037735849056,0
23732399,1,0.699443413729128,0
23732399,2,0.8206071757129715,0
23732399,3,0.8055299539170507,0
24571045,0,0.8113207547169812,0
24571045,1,0.474025974025974,0
24571045,2,0.7378104875804968,0
24571045,3,0.8276497695852535,0
24603500,0,0.8009433962264151,0
24603500,1,0.87291280148423,0
24603500,2,0.8307267709291628,0
24603500,3,0.8552995391705069,0
25041050,0,0.5839622641509434,0
25041050,1,0.4044526901669759,0
25041050,2,0.297148114075437,0
25041050,3,0.6488479262672812,0
25790992,0,0.3613207547169811,0
25790992,1,0.5760667903525046,0
25790992,2,0.1389144434222631,0
25790992,3,0.2608294930875576,0
26347476,0,0.7216981132075472,0
26347476,1,0.7588126159554731,0
26347476,2,0.7322907083716651,0
26347476,3,0.7308755760368664,0
26538001,0,0.7311320754716981,0
26538001,1,0.6261595547309833,0
26538001,2,0.5998160073597056,0
26538001,3,0.3585253456221198,0
27804330,0,0.7122641509433962,0
27804330,1,0.5918367346938775,0
27804330,2,0.38822447102115915,0
27804330,3,0.6516129032258065,0
27825529,0,0.3311320754716981,0
27825529,1,0.29591836734693877,0
27825529,2,0.2861085556577737,0
27825529,3,0.6009216589861751,0
27837315,0,0.9141509433962264,0
27837315,1,0.8450834879406308,0
27837315,2,0.8371665133394665,0
27837315,3,0.8654377880184332,0
28792581,0,0.6216981132075472,0
28792581,1,0.35714285714285715,0
28792581,2,0.45262189512419504,0
28792581,3,0.42304147465437786,0
29236304,0,0.44150943396226416,0
29236304,1,0.8293135435992579,0
29236304,2,0.5059797608095676,0
29236304,3,0.2073732718894009,0
29606459,0,0.569811320754717,0
29606459,1,0.40630797773654914,0
29606459,2,0.29438822447102114,0
29606459,3,0.45161290322580644,0
