year,institution_id,n_works,n_authors,domain_id
2014,102322142,1787,3047,0
2014,102461120,103,175,0
2014,102502594,103,137,0
2014,102607778,100,149,0
2014,103163165,512,753,0
2014,103187081,673,712,0
2014,103531236,165,220,0
2014,103635307,721,1034,0
2014,106165777,322,511,0
2014,106460735,47,98,0
2014,106745318,190,306,0
2014,106959904,51,98,0
2014,106969075,82,106,0
2014,107077323,79,133,0
2014,107341208,1149,1794,0
2014,107606265,697,1470,0
2014,107639228,393,612,0
2014,107672454,649,931,0
2014,107766831,92,75,0
2014,108468826,37,60,0
2014,108785884,111,203,0
2014,110152177,137,282,0
2014,110357561,69,105,0
2014,110378019,180,328,0
2014,110383171,4,2,0
2014,111088046,1481,2497,0
2014,111236770,552,881,0
2014,111455621,115,179,0
2014,111483173,27,39,0
2014,111878022,7,10,0
2014,111979921,1706,2892,0
2014,112197944,16,28,0
2014,113508548,63,97,0
2014,114027177,2284,3947,0
2014,114073160,112,160,0
2014,114395901,815,1239,0
2014,114493937,143,247,0
2014,114662689,272,328,0
2014,114832834,547,920,0
2014,115475287,442,653,0
2014,116530498,48,69,0
2014,117397414,46,117,0
2014,117965899,491,771,0
2014,118118575,105,138,0
2014,118136607,3,7,0
2014,118353179,47,74,0
2014,119443389,132,246,0
2014,120156002,62,106,0
2014,120506574,18,23,0
2014,121820613,514,751,0
2014,121847817,362,513,0
2014,121934306,870,1470,0
2014,121980950,385,536,0
2014,122266389,97,162,0
2014,122411786,599,907,0
2014,123431417,959,1525,0
2014,123534392,400,559,0
2014,123946342,151,262,0
2014,125029298,199,380,0
2014,125687163,197,273,0
2014,126218986,37,59,0
2014,126307644,1334,2118,0
2014,126345244,121,179,0
2014,126744593,1276,2221,0
2014,127073530,13,21,0
2014,127339247,1139,1955,0
2014,127591826,50,68,0
2014,128902783,113,197,0
2014,128956969,55,77,0
2014,129302853,147,467,0
2014,129975664,953,1632,0
2014,130238516,2578,3944,0
2014,130701444,689,1117,0
2014,130769515,1585,2410,0
2014,131249849,841,1131,0
2014,131651094,79,116,0
2014,132943300,115,310,0
2014,133738476,84,152,0
2014,133999245,134,213,0
2014,134113660,269,396,0
2014,134386540,156,228,0
2014,134446601,76,158,0
2014,135191193,101,166,0
2014,135310074,2466,4110,0
2014,136199984,7393,13495,0
2014,137853757,154,253,0
2014,137902535,1231,1781,0
2014,138006243,1447,2173,0
2014,138873065,46,65,0
2014,139290212,116,205,0
2014,139787848,85,241,0
2014,140172145,713,1239,0
2014,141472210,165,238,0
2014,141649380,96,142,0
2014,142066694,24,55,0
2014,142207940,67,127,0
2014,142606810,234,375,0
2014,142740786,620,1114,0
2014,142823887,138,214,0
2014,142934699,67,103,0
2014,143302722,1149,1945,0
2014,145311948,3844,6807,0
2014,145608581,1132,2049,0
2014,145610796,8,20,0
2014,146183641,53,117,0
2014,146416000,780,1147,0
2014,147853995,30,46,0
2014,147878501,40,60,0
2014,148283060,664,918,0
2014,148314036,271,465,0
2014,149251103,557,1129,0
2014,149700789,6,14,0
2014,149744451,44,64,0
2014,149910238,187,264,0
2014,149919469,77,132,0
2014,150149174,71,105,0
2014,150209017,140,200,0
2014,150468666,2158,3640,0
2014,150569930,63,110,0
2014,151328261,27,30,0
2014,151808059,60,79,0
2014,153297377,664,1204,0
2014,153901656,85,146,0
2014,154057602,304,564,0
2014,154570441,560,910,0
2014,155093810,321,427,0
2014,155173764,90,147,0
2014,155781252,517,824,0
2014,156087764,163,205,0
2014,156802259,150,207,0
2014,157394403,233,362,0
2014,157417397,82,114,0
2014,157638225,54,88,0
2014,157725225,1845,2703,0
2014,158012942,81,159,0
2014,159548981,72,141,0
2014,160606119,470,814,0
2014,160856358,51,83,0
2014,161057412,187,246,0
2014,161318765,2684,4730,0
2014,161675122,46,57,0
2014,162577319,200,320,0
2014,162714631,282,377,0
2014,164389053,77,125,0
2014,164936912,127,228,0
2014,165102784,102,156,0
2014,165139151,218,296,0
2014,165690674,1028,1682,0
2014,165733156,1344,1913,0
2014,165799507,214,331,0
2014,165951966,730,1321,0
2014,166088655,60,96,0
2014,166416128,66,97,0
2014,166722992,766,1373,0
2014,167576493,47,75,0
2014,168537998,365,1083,0
2014,168959743,32,50,0
2014,169071179,105,232,0
2014,169335092,166,254,0
2014,169521973,685,966,0
2014,169615421,70,122,0
2014,170201317,2671,4793,0
2014,170632171,60,88,0
2014,170897317,2110,3364,0
2014,172980758,30,56,0
2014,173268674,1588,2539,0
2014,173911158,1052,1554,0
2014,174216632,985,1458,0
2014,175003984,102,150,0
2014,175594653,77,106,0
2014,177097968,22,25,0
2014,177156846,252,348,0
2014,177605424,62,105,0
2014,177607063,115,166,0
2014,177721651,107,183,0
2014,178169726,66,121,0
2014,180297670,153,211,0
2014,180670191,2763,5007,0
2014,180857899,714,2146,0
2014,180949307,89,137,0
2014,181190671,253,462,0
2014,181233156,269,400,0
2014,181401687,70,101,0
2014,181547552,1748,3352,0
2014,181565077,411,583,0
2014,181697535,223,438,0
2014,183874917,133,276,0
2014,184565670,668,1259,0
2014,184840846,755,1362,0
2014,185071736,62,64,0
2014,185103710,545,855,0
2014,185443292,939,1643,0
2014,186143895,124,194,0
2014,186335123,275,458,0
2014,186523950,49,145,0
2014,188497080,23,40,0
2014,188538660,815,1291,0
2014,188703185,266,332,0
2014,188891513,388,603,0
2014,189158971,13,22,0
2014,189196454,164,259,0
2014,189273616,105,151,0
2014,189590672,696,981,0
2014,189957204,119,208,0
2014,191429286,52,68,0
2014,192389796,68,95,0
2014,192396691,69,103,0
2014,192454743,66,88,0
2014,192545095,134,424,0
2014,193531525,516,769,0
2014,196272386,230,436,0
2014,196729704,88,170,0
2014,196817621,116,198,0
2014,197604219,275,559,0
2014,198089087,35,52,0
2014,198423848,117,256,0
2014,198811213,497,661,0
2014,200719446,1734,2943,0
2014,200870766,152,247,0
2014,201448701,3145,5005,0
2014,203088144,131,204,0
2014,203172682,158,197,0
2014,204250578,1212,2043,0
2014,204308271,747,1215,0
2014,204465549,2088,3491,0
2014,204866599,120,207,0
2014,205783295,3146,4978,0
2014,208333798,113,156,0
2014,210824098,49,103,0
2014,219193219,1329,2017,0
2014,223532165,1490,2490,0
2014,227586296,80,132,0
2014,257179599,11,20,0
2014,267592682,80,140,0
2014,285663978,109,210,0
2014,368840534,338,534,0
2014,859038795,959,1553,0
2014,867280407,1422,2637,0
2014,870398029,27,43,0
2014,872248612,135,217,0
2014,880747138,67,93,0
2014,880766802,123,307,0
2014,888729015,53,50,0
2014,889937125,15,23,0
