institution_id,period_id,disorder_index
392282,0,0.8280961182994455
392282,1,0.8380864765409384
392282,2,0.8226102941176471
392282,3,0.7472426470588235
430192,0,0.6589648798521257
430192,1,0.6743330266789328
430192,2,0.65625
430192,3,0.6626838235294118
430641,0,0.7587800369685767
430641,1,0.7332106715731371
430641,2,0.8042279411764706
430641,3,0.7904411764705882
592451,0,0.9140480591497228
592451,1,0.9107635694572216
592451,2,0.8970588235294118
592451,3,0.9016544117647058
1174212,0,0.921441774491682
1174212,1,0.906163753449862
1174212,2,0.9145220588235294
1174212,3,0.9191176470588236
1629065,0,0.6987060998151571
1629065,1,0.764489420423183
1629065,2,0.8198529411764706
1629065,3,0.9126838235294118
1743320,0,0.2162661737523105
1743320,1,0.4038638454461821
1743320,2,0.5238970588235294
1743320,3,0.4963235294117647
1925986,0,0.7809611829944547
1925986,1,0.7571297148114076
1925986,2,0.7169117647058824
1925986,3,0.7380514705882353
2613432,0,0.8881700554528651
2613432,1,0.90524379024839
2613432,2,0.9568014705882352
2613432,3,0.9457720588235294
4179309,0,0.8853974121996303
4179309,1,0.7874885004599816
4179309,2,0.8841911764705882
4179309,3,0.8299632352941176
4322298,0,0.6487985212569316
4322298,1,0.6568537258509659
4322298,2,0.6966911764705882
4322298,3,0.7095588235294118
4777552,0,0.9833641404805916
4777552,1,0.985280588776449
4777552,2,1.0
4777552,3,1.0
5388228,0,0.9251386321626618
5388228,1,0.8684452621895125
5388228,2,0.8216911764705882
5388228,3,0.8088235294117647
5716644,0,0.0415896487985212
5716644,1,0.0450781968721251
5716644,2,0.4136029411764705
5716644,3,0.375
6059380,0,0.7051756007393716
6059380,1,0.8325666973321068
6059380,2,0.7270220588235294
6059380,3,0.7251838235294118
6332465,0,0.4935304990757855
6332465,1,0.3293468261269549
6332465,2,0.4108455882352941
6332465,3,0.4301470588235294
6750721,0,0.8354898336414048
6750721,1,0.7727690892364305
6750721,2,0.7738970588235294
6750721,3,0.7279411764705882
6902469,0,0.8179297597042514
6902469,1,0.6936522539098436
6902469,2,0.6498161764705882
6902469,3,0.6672794117647058
7863295,0,0.7476894639556377
7863295,1,0.7516099356025759
7863295,2,0.7619485294117647
7863295,3,0.7454044117647058
7947594,0,0.8484288354898336
7947594,1,0.7847286108555658
7947594,2,0.7288602941176471
7947594,3,0.7931985294117647
8078737,0,0.9121996303142328
8078737,1,0.9613615455381784
8078737,2,0.9659926470588236
8078737,3,0.9898897058823528
8248082,0,0.8049907578558225
8248082,1,0.8776448942042319
8248082,2,0.90625
8248082,3,0.8602941176470589
8606887,0,0.3752310536044362
8606887,1,0.62557497700092
8606887,2,0.7426470588235294
8606887,3,0.7619485294117647
8692664,0,0.944547134935305
8692664,1,0.93836246550138
8692664,2,0.7931985294117647
8692664,3,0.8373161764705882
10052268,0,0.8576709796672828
10052268,1,0.8721251149954001
10052268,2,0.8722426470588235
10052268,3,0.9117647058823528
11874761,0,0.4260628465804066
11874761,1,0.6853725850965962
11874761,2,0.8621323529411765
11874761,3,0.8318014705882353
11883440,0,0.6284658040665434
11883440,1,0.6918123275068997
11883440,2,0.6773897058823529
11883440,3,0.6737132352941176
11957088,0,0.7255083179297597
11957088,1,0.7543698252069917
11957088,2,0.71875
11957088,3,0.7169117647058824
12057038,0,0.5914972273567468
12057038,1,0.6080956761729531
12057038,2,0.3152573529411764
12057038,3,0.1838235294117647
12097938,0,0.9787430683918668
12097938,1,0.997240110395584
12097938,2,0.9981617647058824
12097938,3,0.9944852941176472
12315562,0,0.9574861367837338
12315562,1,0.9650413983440662
12315562,2,0.9806985294117648
12315562,3,0.9871323529411764
12834331,0,0.8937153419593346
12834331,1,0.8712051517939282
12834331,2,0.8639705882352942
12834331,3,0.8180147058823529
12912129,0,0.8382624768946395
12912129,1,0.8923643054277829
12912129,2,0.8961397058823529
12912129,3,0.8814338235294118
13511017,0,0.7726432532347505
13511017,1,0.8206071757129715
13511017,2,0.7977941176470589
13511017,3,0.7913602941176471
14285509,0,0.5517560073937153
14285509,1,0.5703771849126035
14285509,2,0.4402573529411764
14285509,3,0.3805147058823529
16269868,0,0.5295748613678374
16269868,1,0.6734130634774609
16269868,2,0.6332720588235294
16269868,3,0.6948529411764706
16285277,0,0.7532347504621072
16285277,1,0.7203311867525299
16285277,2,0.6957720588235294
16285277,3,0.6534926470588235
16452829,0,0.9759704251386322
16452829,1,0.983440662373505
16452829,2,0.9871323529411764
16452829,3,0.9788602941176472
16820183,0,0.6866913123844732
16820183,1,0.6476540938362465
16820183,2,0.6167279411764706
16820183,3,0.5661764705882353
16944753,0,0.7218114602587801
16944753,1,0.7635694572217111
16944753,2,0.8382352941176471
16944753,3,0.8023897058823529
17301866,0,0.922365988909427
17301866,1,0.9494020239190432
17301866,2,0.8924632352941176
17301866,3,0.8483455882352942
17626003,0,0.8789279112754159
17626003,1,0.749770009199632
17626003,2,0.8308823529411765
17626003,3,0.8419117647058824
18241798,0,0.0646950092421441
18241798,1,0.4231830726770929
18241798,2,0.3795955882352941
18241798,3,0.3005514705882353
19085752,0,0.155268022181146
19085752,1,0.155473781048758
19085752,2,0.0836397058823529
19085752,3,0.0983455882352941
19648265,0,0.865988909426987
19648265,1,0.8629254829806807
19648265,2,0.9154411764705882
19648265,3,0.9715073529411764
19700959,0,0.7273567467652495
19700959,1,0.828886844526219
19700959,2,0.9319852941176472
19700959,3,0.9650735294117648
19772626,0,0.7458410351201479
19772626,1,0.7746090156393745
19772626,2,0.6948529411764706
19772626,3,0.4356617647058823
20089843,0,0.7837338262476895
20089843,1,0.7378104875804968
20089843,2,0.6580882352941176
20089843,3,0.640625
20382870,0,0.6441774491682071
20382870,1,0.6540938362465502
20382870,2,0.6461397058823529
20382870,3,0.6580882352941176
20388574,0,0.388170055452865
20388574,1,0.4958601655933762
20388574,2,0.5
20388574,3,0.4384191176470588
22433950,0,0.4731977818853974
22433950,1,0.7884084636614536
22433950,2,0.6599264705882353
22433950,3,0.7022058823529411
23732399,0,0.9547134935304992
23732399,1,0.9337626494940202
23732399,2,0.9117647058823528
23732399,3,0.8639705882352942
24571045,0,0.8761552680221811
24571045,1,0.9153633854645814
24571045,2,0.8988970588235294
24571045,3,0.9678308823529412
24603500,0,0.9510166358595196
24603500,1,0.9668813247470102
24603500,2,0.9705882352941176
24603500,3,0.96875
25041050,0,0.1358595194085027
25041050,1,0.1232750689972401
25041050,2,0.2619485294117647
25041050,3,0.6681985294117647
25790992,0,0.1617375231053604
25790992,1,0.2106715731370745
25790992,2,0.1084558823529411
25790992,3,0.2922794117647059
26347476,0,0.0850277264325323
26347476,1,0.1683532658693652
26347476,2,0.2141544117647058
26347476,3,0.4476102941176471
26538001,0,0.8243992606284658
26538001,1,0.8169273229070837
26538001,2,0.8676470588235294
26538001,3,0.8943014705882353
27804330,0,0.9057301293900184
27804330,1,0.8840846366145354
27804330,2,0.8363970588235294
27804330,3,0.7959558823529411
27825529,0,0.711645101663586
27825529,1,0.7304507819687213
27825529,2,0.7095588235294118
27825529,3,0.7205882352941176
27837315,0,0.9768946395563772
