institution_id,year,relative_impact,impact_uniformity
392282,2014,0.8516889593416634,0.6659943129283673
392282,2015,0.8938040867826504,0.6082826682795076
392282,2016,0.923921866157369,0.6510180256461185
392282,2017,1.0631612010254998,0.6568271100506232
392282,2018,1.1742992635061116,0.5742918667505144
392282,2019,1.1915417012218017,0.5977377430211303
392282,2020,1.1543651430490738,0.444827110854202
392282,2021,1.251891992991147,0.6424054258269202
392282,2022,1.2394338789752122,0.7107215874619018
392282,2023,1.3913473271180563,0.7808685840592161
392282,2024,1.333402774830345,0.7368042052441127
430192,2014,0.9805185885289808,0.7655145147090595
430192,2015,0.8362310774719132,0.6152103240915777
430192,2016,0.7626245965861225,0.7397418378778803
430192,2017,0.8242620521774964,0.7871117913420446
430192,2018,0.9078310270214972,0.6176246843047123
430192,2019,0.7269171929407908,0.8081923490321421
430192,2020,0.8993837110048983,0.4830967435531192
430192,2021,0.922294131146946,0.5634451102197591
430192,2022,0.951650996769676,0.6930856210595733
430192,2023,1.1476231293510468,0.552102565598833
430192,2024,0.9435004354987542,0.6085858343236346
430641,2014,0.6038694765760836,0.6318553502493865
430641,2015,0.6279001334072706,0.6928445740108867
430641,2016,0.5362875080141971,0.6007314740113932
430641,2017,0.4786411485474079,0.7008919305637199
430641,2018,0.5537577570521565,0.4614523135353047
430641,2019,0.567541578278906,0.7327708873216163
430641,2020,0.6137200719776226,0.6500899719798754
430641,2021,0.5460688772688386,0.681025044083886
430641,2022,0.7166273119579696,0.594220370042966
430641,2023,0.9201166952301648,0.6315007160114394
430641,2024,0.7721277361911006,0.4802622437479875
592451,2014,1.0390285567219846,0.6658131170912754
592451,2015,0.9872790428974524,0.6129471030299634
592451,2016,0.9884322536804536,0.4664528643534344
592451,2017,0.9354638445645704,0.5212336394799412
592451,2018,0.910874462801422,0.4788087527690118
592451,2019,1.0530972054652743,0.5658440771093207
592451,2020,1.003100592062682,0.4422393362798918
592451,2021,1.104057863851128,0.1606411683240775
592451,2022,1.093051405081668,0.6434574717174958
592451,2023,0.9639377480625116,0.4635669356477236
592451,2024,0.995525536117838,0.3936139277890882
1174212,2014,1.197368929538954,0.653321959556008
1174212,2015,1.1579946534953034,0.5762749795272697
1174212,2016,1.1034697196354712,0.5385818639444894
1174212,2017,1.174458152687214,0.4076052074495513
1174212,2018,1.223949795484286,0.408966947687105
1174212,2019,1.1607080863181467,0.5456368874514178
1174212,2020,1.0984625394354044,0.3244186094541774
1174212,2021,1.1615547952393417,0.5182366301314215
1174212,2022,1.1040923283653212,0.5301143536503258
1174212,2023,1.157985884274742,0.4945666510621527
1174212,2024,1.0681482577793775,0.3593610673098544
1629065,2014,0.8504626736566124,0.3034707753054739
1629065,2015,0.8071957465324401,0.7915108249476219
1629065,2016,1.016760478962791,0.7958349658878741
