similarity_score,institution_id_scaled2,institution_id_scaled2_neighbor
0.9994622468948364,0,167
0.9993354082107544,0,88
0.9991037249565125,0,746
0.9990530014038086,0,355
0.9985743761062622,0,940
0.9985422492027283,0,41
0.9982699751853943,0,268
0.9976053833961487,0,163
0.9974836111068726,0,324
0.997444748878479,0,24
0.9968748092651367,0,685
0.9967648983001709,0,187
0.9966837167739868,0,743
0.9959007501602173,0,51
0.9957603812217712,0,385
0.9953765273094177,0,446
0.9950399994850159,0,216
0.9947913885116577,0,31
0.9940117597579956,0,196
0.9937970042228699,0,432
0.9997175931930542,1,279
0.999700665473938,1,362
0.9996618032455444,1,333
0.9992982149124146,1,400
0.9987807273864746,1,342
0.9986014366149902,1,10
0.9981600642204285,1,277
0.9978150725364685,1,26
0.9977948069572449,1,962
0.9977626800537109,1,256
0.9965230822563171,1,158
0.9963133931159973,1,91
0.9952818155288696,1,415
0.9939255118370056,1,356
0.992734968662262,1,343
0.9921743869781494,1,348
0.9914379119873047,1,903
0.9912789463996887,1,25
0.991223156452179,1,105
0.990360677242279,1,453
0.9961510300636292,2,348
0.9950112104415894,2,105
0.9939475059509277,2,87
0.9936448335647583,2,59
0.9934621453285217,2,35
0.9934148192405701,2,903
0.9905585646629333,2,81
0.9904891848564148,2,213
0.9901729822158813,2,175
0.9888961911201477,2,962
0.9888065457344055,2,25
0.9887186288833618,2,417
0.988508939743042,2,151
0.9884395599365234,2,323
0.9871425032615662,2,381
0.9871171116828918,2,22
0.9869902729988098,2,180
0.9851605296134949,2,221
0.9845686554908752,2,356
0.9844400882720947,2,256
0.9985371828079224,3,210
0.9980822801589966,3,236
0.997272253036499,3,244
0.9971623420715332,3,241
0.9970439672470093,3,328
0.9963404536247253,3,435
0.9958872199058533,3,687
0.9951109886169434,3,4
0.9947068095207214,3,116
0.9921177625656128,3,372
0.9918184280395508,3,761
0.9909880757331848,3,441
0.9907259345054626,3,716
0.9902017116546631,3,172
0.9897062182426453,3,433
0.9894965291023254,3,282
0.9880269765853882,3,344
0.9861345887184143,3,131
0.9860737323760986,3,374
0.9855257868766785,3,298
0.9998461008071899,4,435
0.9996668696403503,4,210
0.99915611743927,4,761
0.9983731508255005,4,441
0.9982733726501465,4,687
0.9980112314224243,4,241
0.9971876740455627,4,244
0.9967361688613892,4,186
0.9964503645896912,4,328
0.9960123896598816,4,284
0.9952378273010254,4,116
0.9951109886169434,4,3
0.9945968985557556,4,178
0.994390606880188,4,344
0.9932321906089783,4,236
0.9930562973022461,4,181
0.992961585521698,4,714
0.9926842451095581,4,372
